date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:09	24059/24059	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jul%202024%2020:55:05%20GMT	https://www.trendyol.com/GET	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/GET	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:09	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202024%2020:55:05%20GMT	https://www.trendyol.com/Hesabim/IndirimKuponlari	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/Hesabim/IndirimKuponlari	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:09	195048/195048	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:05%20GMT	https://www.trendyol.com/giris?cb=/Hesabim/IndirimKuponlari	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/giris82e6.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:10	75301/75301	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:06%20GMT	https://www.trendyol.com/aboutus	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/aboutus.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:10	309865/309865	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:06%20GMT	https://www.trendyol.com/yardim/sorular	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/yardim/sorular.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:10	25768/25768	---M--	200	added ('OK')	text/css	etag:%225ccbc1d3904aab8ee8ca313f91f3fa3d%22	https://cdn.dsmcdn.com/web/master/account-navigation-v2.style.7c951f2de61f071fe897128bb29e2fb4.css	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/web/master/account-navigation-v2.style.7c951f2de61f071fe897128bb29e2fb4.css	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:11	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202024%2020:55:06%20GMT	https://www.trendyol.com/Hesabim/Favoriler	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/Hesabim/Favoriler	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:11	195046/195046	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:07%20GMT	https://www.trendyol.com/giris?cb=/Hesabim/Favoriler	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/giris37ed.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:11	54328/54328	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2020:55:07%20GMT	https://www.trendyol.com/sepet	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/www.trendyol.com/sepet.html	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
00:56:11	9871/9871	---M--	200	added ('OK')	text/css	etag:%221ea0909288ef89ca902e756ce317c111%22	https://cdn.dsmcdn.com/web/master/navigation-v2.0e568a80c4b5541f22b7066bdc4fc5e1.css	C:/Users/ASUS%20VivoBook/Desktop/Yeni%20Proje%203/Yeni%20Proje%203/cdn.dsmcdn.com/web/master/navigation-v2.0e568a80c4b5541f22b7066bdc4fc5e1.css	(from https://www.trendyol.com/giris?cb=%2F%3F%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gads%3Dtrue%26tyutm_source%3Dgoogle%26tyutm_medium%3Dcpc%26tyutm_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26adjust_t%3Dr7x8wfn_bz3o6ag%26adjust_campaign%3Dc%3Aaz_l%3Atr_ch%3Agl_x%3Abrand_y%3Apure-brand_obj%3Amaxclick_kpi%3Atraffic_s%3Aall_p%3Asearch%26gclsrc%3Daw.ds%26gad_source%3D1%26gclid%3DEAIaIQobChMI9ufHvcvFhwMV1mpBAh318gacEAAYASAAEgK0TvD_BwE)
